yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-1.25,52.836
1993,4,13.2,5.9,,
1993,5,16,6.9,,
1993,6,19.7,9.7,,
1993,7,19.9,10.9,,
1993,8,19.1,9.8,,
1993,9,16.1,8.8,,
1993,10,11.5,5,,
1993,11,7.1,2.3,,
1993,12,8.3,2.6,,
1994,1,7.9,2.5,,
1994,2,6,0,,
1994,3,11.4,4.5,,
1994,4,12.3,4.6,,
1994,5,14.2,6,,
1994,6,19.8,9.9,,
1994,7,24.3,12.3,,
1994,8,20.9,11.6,,
1994,9,16.1,9.4,,
1994,10,13.4,6.1,,
1994,11,12.4,7.2,,
1994,12,9.5,3.1,,
1995,1,7.5,1.6,,
1995,2,9.5,3.4,,
1995,3,9.5,1.5,,
1995,4,13.5,4.3,,
1995,5,16.9,6.4,,
1995,6,19.1,9.5,,
1995,7,24.9,12.8,,
1995,8,25.3,12.4,,
1995,9,17.7,9.4,,
1995,10,16.6,8.6,,
1995,11,10.4,4.5,,
1995,12,4.4,-0.6,,
1996,1,5.6,2,,
1996,2,5.5,-0.5,,
1996,3,6.8,1.3,,
1996,4,13,3.6,,
1996,5,13.8,4.5,,
1996,6,20.2,8.1,,
1996,7,22.2,11,,
1996,8,22.1,11.8,,
1996,9,17.9,9.3,,
1996,10,15.2,8,,
1996,11,8.8,2.5,,
1996,12,5.4,0.1,,
1997,1,5.5,-1.4,,
1997,2,10.1,4,,
1997,3,12.3,4.4,,
1997,4,13.5,4.4,,
1997,5,16.5,5.6,,
1997,6,18,10.1,,
1997,7,21.5,12,,
1997,8,24.5,13.7,,
1997,9,18.3,9.9,,
1997,10,13.9,5.5,,
1997,11,11.3,5.5,,
1997,12,8.4,3.5,,
1998,1,7.7,2.6,,
1998,2,11,4.1,,
1998,3,11.3,4.5,,
1998,4,11.4,4.1,,
1998,5,17.2,7.6,,
1998,6,18.4,10.5,,
1998,7,19.7,11.6,,
1998,8,20.9,11.4,,
1998,9,18.4,11.2,,
1998,10,13.9,7.8,,
1998,11,8.6,2.7,,
1998,12,8.7,2.3,,
1999,1,8.5,2.5,,
1999,2,8.2,2.2,,
1999,3,10.9,4.5,,
1999,4,13.8,5.2,,
1999,5,17.4,8.7,,
1999,6,18.4,9.3,,
1999,7,22.9,12.5,,
1999,8,20.7,11.5,,
1999,9,20.5,11.3,,
1999,10,14.5,7,,
1999,11,10.6,5.2,,
1999,12,7.7,1.9,,
2000,1,8.8,1.7,,
2000,2,9.7,2.7,,
2000,3,11.5,3.2,,
2000,4,11.9,3.8,,
2000,5,16.2,7.4,,
2000,6,19.2,10.8,,
2000,7,19.5,10.6,,
2000,8,21.6,11.6,,
2000,9,18.8,11.1,,
2000,10,13.8,7.3,,
2000,11,9.9,4.2,,
2000,12,7.7,3,,
2001,1,5.6,-0.1,,
2001,2,8,0.6,,
2001,3,8.3,1.7,,
2001,4,11.6,3.8,,
2001,5,17.4,7.1,,
2001,6,18.8,9.3,,
2001,7,21.9,12.5,,
2001,8,21.8,12.5,,
2001,9,16.8,9.9,,
2001,10,16.6,10.5,,
2001,11,11,3.5,,
2001,12,6.6,0,,
2002,1,8.5,1.9,,
2002,2,10.2,3.8,,
2002,3,11.5,3.3,,
2002,4,14.2,4.3,,
2002,5,16.2,7.8,,
2002,6,19.2,10.1,,
2002,7,20.8,11.5,,
2002,8,21.8,12.7,,
2002,9,18.6,9.7,,
2002,10,13.4,5.9,,
2002,11,11,5.7,,
2002,12,7.2,3.6,,
2003,1,7.1,2,,
2003,2,7.4,-0.3,,
2003,3,12.4,1.6,,
2003,4,14.8,4.3,,
2003,5,16.9,7.9,,
2003,6,21.3,11.1,,
2003,7,22.3,13,,
2003,8,23.7,12.7,,
2003,9,20.4,8.6,,
2003,10,13.5,4.8,,
2003,11,11.2,4.5,,
2003,12,7.8,0.9,,
2004,1,8.2,2.5,,
2004,2,8.4,2.9,,
2004,3,10.4,3.1,,
2004,4,14,5.4,,
2004,5,17.1,7.1,,
2004,6,20.2,11,,
2004,7,20.5,11.3,,
2004,8,22,13.2,,
2004,9,18.9,10.9,,
2004,10,13.9,7.3,,
2004,11,10.5,4.8,,
2004,12,8.7,2.3,,
2005,1,9,3.2,,
2005,2,7,1.7,,
2005,3,10.4,3.9,,
2005,4,13.6,4.5,,
2005,5,16.1,6.6,,
2005,6,20.8,10.4,,
2005,7,21.2,12.4,,
2005,8,22.1,11.3,,
2005,9,19.7,10.7,,
2005,10,16.3,10.4,,
2005,11,10,*    2.6*,,
2005,12,7.5,1.8,,
2006,1,6.8,2.4,,
2006,2,6.6,1.4,,
2006,3,8.4,2.2,,
2006,4,12.8,5.3,,
2006,5,16.3,7.7,,
2006,6,21.9,11.4,,
2006,7,26.5,14.1,,
2006,8,20.6,12.4,,
2006,9,21.5,12.9,,
2006,10,16.4,10,,
2006,11,11.9,5.1,,
2006,12,9.3,4.7,,
2007,1,10.1,4.9,,
2007,2,9.3,3,,
2007,3,11.4,3.7,,
2007,4,16.7,6.1,,
2007,5,16.1,7.6,,
2007,6,19.5,10.9,,
2007,7,19.9,12,,
2007,8,21.5,11.8,,
2007,9,19,10.6,,
2007,10,15.8,7.8,,
2007,11,11,4.1,,
2007,12,7.7,2.4,,
2008,1,9.7,3.8,,
2008,2,9.4,0.6,,
2008,3,10.2,2.7,,
2008,4,12.2,*    3.9*,,
2008,5,17.8,8.1,,
2008,6,19.1,9.5,,
2008,7,21.8,11.8,,
2008,8,21.5,13.2,,
2008,9,17.9,9.9,,
2008,10,13.8,6.9,,
2008,11,9.8,5,,
2008,12,6.5,1.2,,
2009,1,6.2,0.6,,
2009,2,6.9,1.6,,
2009,3,11.2,3.1,,
2009,4,14.9,5.5,,
2009,5,17.2,7.7,,
2009,6,20.2,10.2,,
2009,7,21.2,12.5,,
2009,8,21.9,13,,
2009,9,18.9,10.1,,
2009,10,15.5,8.1,,
2009,11,11.7,6.2,,
