yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-4.147,51.089
2007,2,10.7,5.2,,
2007,3,11.7,4.6,,
2007,4,17,7.2,,
2007,5,16.2,9.5,,
2007,6,18.9,12.2,,
2007,7,18.6,12.8,,
2007,8,20.1,12.4,,
2007,9,18.7,11.2,,
2007,10,15.7,9,,
2007,11,12.3,6.2,,
2007,12,9.8,3.9,,
2008,1,10.7,5.4,,
2008,2,10.9,3,,
2008,3,10.4,5,,
2008,4,12.2,5.2,,
2008,5,18.6,10,,
2008,6,17.9,11.1,,
2008,7,19.8,13,,
2008,8,19,14.1,,
2008,9,17.9,10.4,,
2008,10,14.5,8.4,,
2008,11,11.2,6.7,,
2008,12,8.4,2.7,,
2009,1,7.7,1.7,,
2009,2,7.9,3,,
2009,3,11.4,4.1,,
2009,4,14.3,6.1,,
2009,5,16.1,8.7,,
2009,6,20.1,11.7,,
2009,7,19.5,13.8,,
2009,8,19.6,13.8,,
2009,9,18.2,11.2,,
2009,10,16.1,9.6,,
2009,11,12.7,7.7,,
2009,12,8,2.4,,
2010,1,6.3,-0.3,,
2010,2,7.7,2.1,,
2010,3,10.6,3,,
2010,4,14.4,5,,
2010,5,15.8,7.4,,
2010,6,19.9,11.1,,
2010,7,20.3,14,,
2010,8,19.4,12.8,,
2010,9,18.3,11.1,,
2010,10,15.4,7.8,,
2010,11,10.1,4,,
2010,12,5.4,-2.5,,
2011,1,7.8,2.2,,
2011,2,10.7,5.4,,
2011,3,12.3,3.2,,
2011,4,17.4,7.5,,
2011,5,16.4,9.4,,
2011,6,17.8,10.9,,
2011,7,19.6,12.4,,
2011,8,19,12.5,,
2011,9,19.1,12.7,,
2011,10,16.7,10.5,,
2011,11,13.9,8.2,,
2011,12,10.5,6.1,,
2012,1,9.8,4.8,,
2012,2,8.6,2.8,,
2012,3,13.6,4.9,,
2012,4,11.5,4.9,,
2012,5,16.1,8.3,,
2012,6,17.5,11.6,,
2012,7,18.7,12.5,,
2012,8,20.3,14.4,,
2012,9,17.4,10.9,,
2012,10,14.4,8.4,,
2012,11,11.3,5.5,,
2012,12,10,4.1,,
2013,1,8.3,4,,
2013,2,7.7,2.5,,
2013,3,7.9,1.7,,
2013,4,11.5,4.8,,
2013,5,14.4,6.7,,
2013,6,18.2,11.1,,
2013,7,23.4,13.8,,
2013,8,20.7,13.9,,
2013,9,18.6,12.2,,
2013,10,16.7,11.3,,
2013,11,11.5,5.3,,
2013,12,11.1,4.5,,
2014,1,10.1,4.5,,
2014,2,10.1,4.7,,
2014,3,12.3,4.3,,
2014,4,14.3,7.1,,
2014,5,16.3,9.7,,
2014,6,20.1,11.9,,
2014,7,21.8,13.8,,
2014,8,19.3,12.7,,
2014,9,20.7,11.6,,
2014,10,16.9,11,,
2014,11,12.7,6.4,,
2014,12,10.1,4.2,,
2015,1,9.6,4,,
2015,2,8.4,2.4,,
2015,3,10.9,3.7,,
2015,4,14.9,6.1,,
2015,5,14.8,8.8,,
2015,6,18.3,10.9,,
2015,7,19.5,13,,
2015,8,19.8,12.4,,
2015,9,17.8,9.8,,
2015,10,15.8,8.8,,
2015,11,13.8,9.1,,
2015,12,13.5,9.5,,
2016,1,10.3,5,,
2016,2,9.3,3.4,,
2016,3,10.7,3,,
2016,4,12.6,5,,
2016,5,17.9,8.9,,
2016,6,18.9,12.7,,
2016,7,20.2,13.9,,
2016,8,20.9,13.8,,
2016,9,19.7,13.4,,
2016,10,15.2,8,,
2016,11,10.9,5.1,,
2016,12,10.6,4.8,,
2017,1,9,3.7,,
2017,2,10.3,5.2,,
2017,3,12.6,6.6,,
2017,4,13.6,5.7,,
2017,5,17.7,9.8,,
2017,6,20.2,12.7,,
2017,7,20.2,13.8,,
2017,8,19.6,12.9,,
2017,9,17.7,11.3,,
2017,10,16.2,11.4,,
2017,11,12.3,5.9,,
2017,12,10.2,4.9,,
2018,1,9.8,4.1,,
2018,2,7.5,1.9,,
2018,3,9.3,3,,
2018,4,14.2,7,,
2018,5,17.7,8.9,,
2018,6,22.5,12.7,,
2018,7,23.4,14,,
2018,8,20.4,14,,
2018,9,18.5,11.1,,
2018,10,15.3,8.3,,
2018,11,12.3,6.6,,
2018,12,11.5,6.5,,
2019,1,8.6,3.8,,
2019,2,12.4,4.2,,
2019,3,11.8,5.8,,
2019,4,14.8,6,,
2019,5,16.3,7.8,,
2019,6,18.5,11.7,,
2019,7,22.3,13.6,,
2019,8,21,14.1,,
2019,9,18.9,12.4,,
2019,10,15,9.2,,
2019,11,11,5.9,,
2019,12,10.3,4.2,,
2020,1,10.3,4.9,,
2020,2,10.5,5.2,,
2020,3,11.3,4.4,,
2020,4,17.2,6.7,,
2020,5,18.7,8,,
2020,6,19.4,11.5,,
2020,7,19,12.6,,
2020,8,21.2,14.5,,
2020,9,18.7,11.4,,
2020,10,14.4,9.2,,
2020,11,13.1,6.7,,
2020,12,9.9,4.8,,
2021,1,8.2,2.4,,
2021,2,9.8,3.8,,
2021,3,11.6,4.3,,
2021,4,13.2,3.2,,
2021,5,14.7,7.3,,
2021,6,19.9,11.6,,
2021,7,22.1,14,,
2021,8,20.1,12.8,,
2021,9,20.3,12.6,,
2021,10,16.5,10.2,,
2021,11,12.3,6.7,,
2021,12,11.4,6.6,,
2022,1,9.8,3.3,,
2022,2,11.1,5.5,,
2022,3,13.2,4.5,,
2022,4,14.9,5.7,,
2022,5,17.2,9.8,,
2022,6,19.9,10.9,,
2022,7,22.8,13.6,,
2022,8,24.2,13.9,,
2022,9,19.1,11.6,,
2022,10,17.5,11,,
2022,11,13.2,8.2,,
2022,12,8.5,2.3,,
2023,1,9.8,3.8,,
2023,2,10.4,3.7,,
2023,3,11.3,5.6,,
2023,4,13.6,6.2,,
2023,5,18.1,8.9,,
2023,6,22.4,12.9,,
2023,7,19.8,13.7,,
2023,8,20.1,13.9,,
2023,9,21.5,13.6,,
2023,10,17.1,10.6,,
2023,11,12.3,7.4,,
2023,12,11.5,7.1,,
2024,1,9.1,3.2,,
2024,2,11.5,6.6,,
2024,3,12,5.9,,
