yyyy,mm,tmax,tmin,latitude,longitude
,,degC,degC,-2.786,54.67
1984,9,14.9,8.9,,
1984,10,13,6.9,,
1984,11,9,5,,
1984,12,6.9,1.8,,
1985,1,2.7,-1.9,,
1985,2,5.5,-0.8,,
1985,3,7.2,0.1,,
1985,4,10.6,3.5,,
1985,5,13.9,5.9,,
1985,6,15.7,*    7.0*,,
1985,7,18.5,*   10.7*,,
1985,8,16.4,*    9.6*,,
1985,9,16.7,9.4,,
1985,10,13.2,6.9,,
1985,11,5.5,*   -0.9*,,
1985,12,7.5,*    2.3*,,
1986,1,4.6,*   -0.3*,,
1986,2,1.6,*   -3.7*,,
1986,3,7.9,*    1.0*,,
1986,4,8.2,1.9,,
1986,5,13.8,*    6.2*,,
1986,6,18.7,*    8.8*,,
1986,7,18.3,*   10.5*,,
1986,8,15.5,*    7.7*,,
1986,9,14.4,*    5.6*,,
1986,10,12.7,*    6.1*,,
1986,11,9.9,3.9,,
1986,12,7.7,2.3,,
1987,1,2.9,*   -2.4*,,
1987,2,6.1,*   -0.6*,,
1987,3,6.4,*    0.3*,,
1987,4,13.2,*    4.3*,,
1987,5,13.5,*    4.6*,,
1987,6,15,*    7.7*,,
1987,7,19.1,*   10.7*,,
1987,8,17.7,*   10.2*,,
1987,9,15.6,*    7.9*,,
1987,10,11.3,*    4.6*,,
1987,11,8,*    3.1*,,
1987,12,7.2,*    1.6*,,
1988,1,6.3,*    1.7*,,
1988,2,6.7,*    1.4*,,
1988,3,8,*    1.7*,,
1988,4,11.6,*    3.2*,,
1988,5,15.9,5.6,,
1988,6,19.3,9,,
1988,7,17.1,10.5,,
1988,8,18,10.2,,
1988,9,14.8,*    8.4*,,
1988,10,12.1,*    5.9*,,
1988,11,8,*    1.0*,,
1988,12,8.9,*    4.2*,,
1989,1,8.5,*    2.5*,,
1989,2,8.1,2.6,,
1989,3,9.4,2.1,,
1989,4,9.4,2.3,,
1989,5,17,6.4,,
1989,6,18.2,8,,
1989,7,22.4,11.3,,
1989,8,18.7,10.6,,
1989,9,16.5,8.3,,
1989,10,14,7.3,,
1989,11,8.2,2.4,,
1989,12,5.2,-0.7,,
1990,1,8.1,2.6,,
1990,2,8.2,3.6,,
1990,3,10.6,4.4,,
1990,4,11.7,2.6,,
1990,5,16.8,6.8,,
1990,6,16.7,8.3,,
1990,7,20.3,9.7,,
1990,8,20.8,11.8,,
1990,9,15.2,7.1,,
1990,10,13.1,7.5,,
1990,11,8,3.3,,
1990,12,6,0.6,,
1991,1,4.5,-0.8,,
1991,2,4.3,-1.8,,
1991,3,10.2,3.4,,
1991,4,10.9,3.1,,
1991,5,14.7,6,,
1991,6,15.5,7.2,,
1991,7,21.3,12.1,,
1991,8,19.9,*   11.3,,
1991,9,17.6,*    7.3,,
1991,10,11.7,6,,
1991,11,8.1,2.4,,
1991,12,7.4,1,,
1992,1,6.3,*   -0.4,,
1992,2,8.3,2.1,,
1992,3,9.1,*    3.2,,
1992,4,10.7,*    4.3,,
1992,5,18.3,6.9,,
1992,6,20.7,9.2,,
1992,7,19,10.7,,
1992,8,17.9,8.7,,
1992,9,15.7,8,,
1992,10,9.5,2.5,,
1992,11,9,2.4,,
1992,12,5.2,-0.2,,
1993,1,7.3,1.8,,
1993,2,7.5,2.5,,
1993,3,8.8,*    2.2,,
1993,4,13,4.3,,
1993,5,14.6,5.7,,
1993,6,18.3,9.9,,
1993,7,17.6,10.6,,
1993,8,17.4,8.5,,
1993,9,15,7.1,,
1993,10,10.6,2.8,,
1993,11,6.1,0,,
1993,12,5.7,0.5,,
1994,1,6.2,1.2,,
1994,2,4.9,-1.1,,
1994,3,8.6,3.1,,
1994,4,10.7,3.2,,
1994,5,14.4,4.4,,
1994,6,16,8.9,,
1994,7,20.2,10.5,,
1994,8,17.2,9.7,,
1994,9,14.6,6.8,,
1994,10,12.5,4.8,,
1994,11,11,5.4,,
1994,12,8,2.2,,
1995,1,6.1,0,,
1995,2,7.4,2.3,,
1995,3,6.6,0.8,,
1995,4,11.7,3.5,,
1995,5,14.6,5.5,,
1995,6,18.3,8,,
1995,7,21.6,11.7,,
1995,8,23.5,10.7,,
1995,9,16.5,7.9,,
1995,10,14.8,8.5,,
1995,11,9.8,3.4,,
1995,12,4,-1.7,,
1996,1,5.5,2.4,,
1996,2,4.8,-1.1,,
1996,3,6.3,1.2,,
1996,4,10.9,3.6,,
1996,5,12.4,3.3,,
1996,6,17.4,7.4,,
1996,7,19.3,9.9,,
1996,8,19.6,10.4,,
1996,9,16.4,7.9,,
1996,10,13.5,7.2,,
1996,11,7.2,1,,
1996,12,4.5,*   -0.4*,,
1997,1,5,-1.4,,
1997,2,8.1,2.7,,
1997,3,10.6,3.4,,
1997,4,12,3.6,,
1997,5,15.3,5,,
1997,6,16.6,8.7,,
1997,7,20,10.5,,
1997,8,21,11.3,,
1997,9,16.1,7.8,,
1997,10,12.3,5.1,,
1997,11,10,4.8,,
1997,12,7.6,1.9,,
1998,1,6.6,1.5,,
1998,2,9.7,5,,
1998,3,9.9,3.6,,
1998,4,10.1,2.9,,
1998,5,16.8,7.4,,
1998,6,16,8.9,,
1998,7,17.1,10.7,,
1998,8,17.7,10.7,,
1998,9,17.1,9.5,,
1998,10,12.1,5.7,,
1998,11,7.8,1.7,,
1998,12,8.2,1.6,,
1999,1,6.9,1.5,,
1999,2,6.9,1.5,,
1999,3,8.9,3.1,,
1999,4,12.3,3.9,,
1999,5,15.8,7.1,,
1999,6,16.3,8.5,,
1999,7,20.4,11.3,,
1999,8,18.6,9.5,,
1999,9,18,8.9,,
1999,10,13.1,5.3,,
1999,11,9.5,3.7,,
1999,12,5.9,0.7,,
2000,1,6.8,1.1,,
2000,2,7.6,2.6,,
2000,3,10.1,3.7,,
2000,4,10.6,2.6,,
2000,5,16,5.6,,
2000,6,16.8,9.2,,
2000,7,18.7,9.3,,
2000,8,18.7,9.7,,
2000,9,16.7,9.3,,
2000,10,11.9,5.4,,
2000,11,8.2,3.3,,
2000,12,7.4,2,,
2001,1,5,-0.4,,
2001,2,6.2,-1.1,,
2001,3,7,*   -0.1*,,
2001,4,10.3,2.5,,
2001,5,17.1,5.2,,
2001,6,16.5,8,,
2001,7,20,10.9,,
2001,8,19.2,9.7,,
2001,9,15.6,7.2,,
2001,10,15.1,8.2,,
2001,11,9.9,2.1,,
2001,12,6.6,-2,,
2002,1,8,0.8,,
2002,2,8.2,1.5,,
2002,3,10.6,1.5,,
2002,4,12.8,1.9,,
2002,5,14.5,5.9,,
2002,6,16.6,8.4,,
2002,7,17.8,8.9,,
2002,8,19.8,11.3,,
2002,9,17.1,8.1,,
2002,10,12.2,3.1,,
2002,11,9.8,3.8,,
2002,12,6.3,2.1,,
2003,1,6.3,0.9,,
2003,2,7.1,-0.9,,
2003,3,11.5,1.2,,
2003,4,13.9,3.4,,
2003,5,14.4,7.1,,
2003,6,18.6,9.6,,
2003,7,20.1,12.1,,
2003,8,20.9,10.7,,
2003,9,17.4,7.6,,
2003,10,11.9,3,,
2003,11,10.5,3.9,,
2003,12,7.6,0,,
2004,1,6.9,1.7,,
2004,2,7.4,0.6,,
2004,3,8.9,1.6,,
2004,4,12,5.3,,
2004,5,16.4,5.8,,
2004,6,17.8,9.4,,
2004,7,18.4,10.1,,
2004,8,19.8,12,,
2004,9,16.8,8.7,,
2004,10,12.1,5.7,,
2004,11,9.4,4,,
2004,12,8.5,1.5,,
2005,1,8.1,2.8,,
2005,2,6.6,1.3,,
2005,3,9.9,3.3,,
2005,4,11.6,*    3.6,,
2005,5,14.1,*    5.7,,
2005,6,18.3,*    9.4,,
2005,7,19.3,10.6,,
2005,8,18.8,9.5,,
2005,9,17.1,8.7,,
2005,10,13.8,8.2,,
2005,11,8.1,0.9,,
2005,12,6.7,0.2,,
2006,1,5.6,0.6,,
2006,2,6.1,1,,
2006,3,6.7,0.5,,
2006,4,10.9,3.6,,
2006,5,15,6.5,,
2006,6,18.8,9.7,,
2006,7,23.3,11.5,,
2006,8,18.1,10.1,,
2006,9,19,10.5,,
2006,10,14.6,7.5,,
2006,11,10.6,3.9,,
2006,12,7.5,1.8,,
2007,1,9.2,2.2,,
2007,2,8.1,1.2,,
2007,3,9.9,2.2,,
2007,4,15.1,4.4,,
2007,5,15.1,5.9,,
2007,6,17.9,9,,
2007,7,18.1,9.9,,
2007,8,18.1,9,,
2007,9,16.2,7.3,,
2007,10,13.8,5.1,,
2007,11,10.4,3.7,,
2007,12,7.3,-0.1,,
2008,1,8.1,1.8,,
2008,2,9.4,0.5,,
2008,3,8.3,1.3,,
2008,4,10.5,2.6,,
2008,5,17.1,6.4,,
2008,6,16.7,7.6,,
2008,7,19.5,11,,
2008,8,18.8,10.9,,
2008,9,15.7,7.9,,
2008,10,11.6,4.3,,
2008,11,8.8,2.9,,
2008,12,6.1,-1,,
2009,1,5.7,-0.5,,
2009,2,6.5,0.7,,
2009,3,9.4,2,,
2009,4,13.7,3,,
2009,5,14.6,6.1,,
2009,6,18.7,7.4,,
2009,7,18.9,10.4,,
2009,8,18.7,10.7,,
2009,9,16.4,8.8,,
2009,10,13.4,6.7,,
2009,11,9.6,4,,
2009,12,4.8,-1.6,,
2010,1,3.6,-2.8,,
2010,2,4.8,-2.7,,
2010,3,8.9,0.7,,
2010,4,12.5,2.9,,
2010,5,14.2,4.1,,
2010,6,19.1,8.3,,
2010,7,18.5,11.5,,
2010,8,18.6,8.2,,
2010,9,16.9,8.2,,
2010,10,12.5,4.9,,
2010,11,6.7,0.6,,
2010,12,1.4,-7,,
2011,1,5.3,-0.3,,
2011,2,7.9,2.6,,
2011,3,9.8,0.7,,
2011,4,15.4,5.2,,
2011,5,14.2,6.7,,
2011,6,16.6,7.9,,
2011,7,19,8.5,,
2011,8,17.6,9.6,,
2011,9,16.8,9.9,,
2011,10,14,8.4,,
2011,11,11.3,5.4,,
2011,12,7.4,2.4,,
2012,1,6.9,1.4,,
2012,2,6.8,1.3,,
2012,3,12.4,3.2,,
2012,4,10.2,2.2,,
2012,5,15.1,4.5,,
2012,6,15.3,8.3,,
2012,7,17.7,10.2,,
2012,8,18.8,10.5,,
2012,9,15.4,8.2,,
2012,10,11.3,3.1,,
2012,11,8.3,2.6,,
2012,12,6,0.6,,
2013,1,5.4,0.8,,
2013,2,5.9,-0.7,,
2013,3,4.8,-1.8,,
2013,4,10,1.9,,
2013,5,13.6,5,,
2013,6,17.6,8,,
2013,7,22.5,11.4,,
2013,8,19.1,11.2,,
2013,9,16,8.5,,
2013,10,13.6,8.5,,
2013,11,8.2,1.1,,
2013,12,8.8,3,,
2014,1,7.1,2.4,,
2014,2,7.3,2.6,,
2014,3,10.2,2.4,,
2014,4,12.9,5.2,,
