Aberporth,,,,
,,,,
,,,,
,,,,
,,,,
yyyy  mm,tmax,tmin,latitude,longitude
,degC,degC,-4.57,52.139
1941   1,---,---,,
1941   2,---,---,,
1941   3,---,---,,
1941   4,---,---,,
1941   5,---,---,,
1941   6,---,---,,
1941   7,---,---,,
1941   8,---,---,,
1941   9,---,---,,
1941  10,---,---,,
1941  11,---,---,,
1941  12,---,---,,
1974   8,17.1,11.1,,
1974   9,14,9.2,,
1974  10,10.5,6.8,,
1974  11,9.3,5.2,,
1974  12,9.9,6.2,,
1975   1,9.1,5,,
1975   2,8.7,2.8,,
1975   3,7.2,3,,
1975   4,10.3,5,,
1975   5,12.5,6.6,,
1975   6,17,10.5,,
1975   7,18.7,13,,
1975   8,19.3,13.6,,
1975   9,15.6,10,,
1975  10,13.4,7.9,,
1975  11,9.9,5.2,,
1975  12,8.3,4.6,,
1976   1,8,4.9,,
1976   2,7.1,2.6,,
1976   3,8.1,2.2,,
1976   4,10.5,4.4,,
1976   5,13.5,7.6,,
1976   6,18.9,11.1,,
1976   7,19.6,13.2,,
1976   8,20.4,13.5,,
1976   9,15.6,10.6,,
1976  10,12.7,7.5,,
1976  11,9.7,5.1,,
1976  12,5.6,1.6,,
1977   1,5.9,1.8,,
1977   2,8.3,3.4,,
1977   3,9.8,4.7,,
1977   4,9.3,4.7,,
1977   5,13.7,6.8,,
1977   6,14.3,8.9,,
1977   7,18.1,12.3,,
1977   8,18,11.7,,
1977   9,15.1,10.4,,
1977  10,14.7,9.8,,
1977  11,9,4.8,,
1977  12,8.7,4.9,,
1978   1,6.6,2.5,,
1978   2,5.5,1.5,,
1978   3,9,3.9,,
1978   4,9.4,3.7,,
1978   5,13.9,7.9,,
1978   6,15.2,9.8,,
1978   7,15.7,11.1,,
1978   8,16.3,11.5,,
1978   9,16.1,11.2,,
1978  10,14.4,10.3,,
1978  11,11.2,7.1,,
1978  12,7.7,3.3,,
1979   1,4.6,-0.4,,
1979   2,4.5,0.3,,
1979   3,6.9,2.2,,
1979   4,9.7,4.3,,
1979   5,11.6,5.4,,
1979   6,15.5,9.6,,
1979   7,17.6,11.9,,
1979   8,16.8,11.2,,
1979   9,15.7,10.3,,
1979  10,13.9,9.1,,
1979  11,10.4,5.7,,
1979  12,8.9,4.4,,
1980   1,5.8,1,,
1980   2,8.7,4.3,,
1980   3,7.5,2.9,,
1980   4,10.5,5.6,,
1980   5,14.5,7.2,,
1980   6,15.2,10.2,,
1980   7,16.6,11,,
1980   8,17.7,12.5,,
1980   9,16.4,11.5,,
1980  10,11.8,7.2,,
1980  11,9.1,5.5,,
1980  12,8.9,4.4,,
1981   1,8,3.6,,
1981   2,6.4,1.1,,
1981   3,9.9,5.7,,
1981   4,11.2,5.1,,
1981   5,13.8,7.4,,
1981   6,15,9.8,,
1981   7,16.5,11.6,,
1981   8,18.4,12.5,,
1981   9,17.3,10.8,,
1981  10,11,6.5,,
1981  11,10.7,6.2,,
1981  12,5.5,0.6,,
1982   1,6.2,2.5,,
1982   2,8.2,3,,
1982   3,8.7,3.3,,
1982   4,10.7,5.3,,
1982   5,14.5,7.5,,
1982   6,17.8,10.7,,
1982   7,17.9,12.3,,
1982   8,17.2,12,,
1982   9,16.6,10.7,,
1982  10,12.7,7.9,,
1982  11,10.6,6.4,,
1982  12,8.1,3.2,,
1983   1,9.1,5,,
1983   2,5.3,0.5,,
1983   3,8.7,4.4,,
1983   4,9.1,3.4,,
1983   5,12.1,6.8,,
1983   6,15.9,10.2,,
1983   7,20.7,13.9,,
1983   8,19.7,13.1,,
1983   9,16,10.8,,
1983  10,13.2,8.1,,
1983  11,10.6,5.8,,
1983  12,9.3,4.9,,
1984   1,7.4,2.4,,
1984   2,7.1,2.2,,
1984   3,7,2.2,,
1984   4,12.5,5.1,,
1984   5,12.2,6.4,,
1984   6,15.9,9.8,,
1984   7,18.9,11.9,,
1984   8,19.9,13.2,,
1984   9,15.5,11.3,,
1984  10,13.6,8.4,,
1984  11,10.2,6,,
1984  12,8.6,3.8,,
1985   1,5,-0.3,,
1985   2,6.5,1.2,,
1985   3,7.5,2.3,,
1985   4,10.8,5.5,,
1985   5,12.9,7.4,,
1985   6,14.6,8.7,,
1985   7,17.4,11.5,,
1985   8,16.3,10.6,,
1985   9,17.2,11.2,,
1985  10,13.4,8.2,,
1985  11,7.8,3.1,,
1985  12,8.9,4.7,,
1986   1,6.7,2.7,,
1986   2,2.3,-2.7,,
1986   3,8,2.3,,
1986   4,7.6,2.6,,
1986   5,13.1,7.3,,
1986   6,17.6,10.4,,
1986   7,16.8,11.6,,
1986   8,15.2,10.3,,
1986   9,14.4,8,,
1986  10,13.7,8.8,,
1986  11,10.6,5.7,,
1986  12,9.3,4.5,,
1987   1,4.2,0,,
1987   2,6.7,1.7,,
1987   3,7.3,2.1,,
1987   4,13.4,6.7,,
1987   5,12.1,7.3,,
1987   6,14.3,9.2,,
1987   7,17.4,12.1,,
1987   8,17.5,12.3,,
1987   9,16.3,10.6,,
1987  10,12.7,7,,
1987  11,9.4,5.3,,
1987  12,8.2,4.3,,
1988   1,7.9,3.7,,
1988   2,7.2,2.8,,
1988   3,8.5,4.6,,
1988   4,11.3,4.9,,
1988   5,13.9,7.7,,
1988   6,16.4,10.6,,
1988   7,15.8,11,,
1988   8,16.9,11.2,,
1988   9,15.3,10.5,,
1988  10,13.4,8.4,,
1988  11,9.9,3.9,,
1988  12,9.8,6.8,,
1989   1,8.9,4.6,,
1989   2,8.7,3.6,,
1989   3,9.9,4.3,,
1989   4,9.5,3.4,,
1989   5,15.5,8.8,,
1989   6,16.7,9.9,,
1989   7,19.7,13,,
1989   8,18.4,12.5,,
1989   9,16.4,11,,
1989  10,13.9,9.6,,
1989  11,10.5,5.2,,
1989  12,8,2.9,,
1990   1,9.1,4.8,,
1990   2,9.9,4.6,,
1990   3,10.5,5.3,,
1990   4,11,4.6,,
1990   5,15.7,8.8,,
1990   6,15.7,10,,
1990   7,20.1,12.7,,
1990   8,19.8,13.7,,
1990   9,15.7,10.4,,
1990  10,14.3,9.9,,
1990  11,9.6,5.5,,
1990  12,7.5,2.8,,
1991   1,6.1,1.2,,
1991   2,5.4,-0.1,,
1991   3,10,5,,
1991   4,10.6,5,,
1991   5,12.6,7.6,,
1991   6,14.3,9,,
1991   7,19,13,,
1991   8,19.5,12.8,,
1991   9,18.2,11.6,,
1991  10,12.6,8.1,,
1991  11,9.7,5.4,,
1991  12,7.9,3.8,,
1992   1,7.3,2.1,,
1992   2,8.6,4.4,,
1992   3,9.6,4.9,,
1992   4,11.2,5.4,,
1992   5,16.6,9.1,,
1992   6,17.6,11,,
1992   7,17.8,12.4,,
1992   8,16.6,11.3,,
1992   9,15.2,10.3,,
1992  10,10.6,6.7,,
1992  11,10.5,5.9,,
1992  12,7.2,2.6,,
1993   1,8.9,3.8,,
1993   2,7.3,3.7,,
1993   3,8.8,4.4,,
1993   4,11.8,6.5,,
1993   5,13.8,7.8,,
1993   6,15.9,10.6,,
1993   7,16.6,11.6,,
1993   8,16.6,10.9,,
1993   9,15.2,9.9,,
1993  10,11.1,6.1,,
1993  11,8.1,3.1,,
1993  12,8.5,4.2,,
1994   1,8.1,3.6,,
1994   2,6.4,1.7,,
1994   3,9.5,5.3,,
1994   4,10,4.8,,
1994   5,13.5,7.4,,
1994   6,16,9.9,,
1994   7,18.8,12.2,,
1994   8,17.7,12,,
1994   9,14.7,10.1,,
1994  10,13.6,8.5,,
1994  11,12.2,8.8,,
1994  12,9.8,5.2,,
1995   1,8.4,3.5,,
1995   2,9.2,4.5,,
1995   3,8.3,2.8,,
1995   4,10.8,5.5,,
1995   5,14,7.7,,
1995   6,16.5,10.6,,
1995   7,21.1,13.9,,
1995   8,22.4,14.9,,
1995   9,15.9,11.2,,
1995  10,15.5,10.8,,
1995  11,10.7,5.8,,
1995  12,6,1.8,,
1996   1,6.9,3.4,,
1996   2,6,1.1,,
1996   3,7.7,3,,
1996   4,11.1,4.9,,
1996   5,11.8,5.4,,
1996   6,15.7,9.8,,
1996   7,17.8,12,,
1996   8,17.9,12.2,,
1996   9,17,10.6,,
1996  10,14.1,10,,
1996  11,9.4,5.1,,
1996  12,6.3,1.6,,
1997   1,5.8,1,,
1997   2,9.2,4.2,,
1997   3,10.8,5.6,,
1997   4,12.3,6,,
1997   5,14.7,7.9,,
1997   6,15.8,10.5,,
1997   7,18.2,11.9,,
1997   8,20.2,14.1,,
1997   9,16.7,11.3,,
1997  10,14,8.4,,
1997  11,11.3,7.4,,
1997  12,9.1,4.7,,
1998   1,8,3.5,,
1998   2,9.9,5.5,,
1998   3,10.1,6.1,,
1998   4,10.2,4.6,,
1998   5,14.6,9.3,,
1998   6,16.1,10.6,,
1998   7,16.4,12.1,,
1998   8,17.9,12,,
1998   9,17,12,,
1998  10,13.4,8.9,,
1998  11,9.7,5.6,,
1998  12,9.1,3.9,,
1999   1,8.7,3.8,,
1999   2,8,4.1,,
1999   3,9.4,4.8,,
1999   4,11.5,6.4,,
1999   5,14.8,9.3,,
1999   6,15.6,10,,
1999   7,19.7,13,,
1999   8,18.7,12.6,,
1999   9,17.5,11.4,,
1999  10,13.7,8.7,,
1999  11,10.6,6.6,,
1999  12,8.5,4.2,,
2000   1,7.8,3.6,,
2000   2,8.6,4.3,,
2000   3,9.3,4.7,,
2000   4,10.3,4.2,,
2000   5,14.4,8.3,,
2000   6,16.9,10.7,,
2000   7,17.5,11.8,,
2000   8,18.5,12.3,,
2000   9,17.1,11.4,,
2000  10,12.9,8,,
2000  11,9.5,5.3,,
2000  12,8.4,4.1,,
20/01/2001,6.8,2.2,,
20/01/2002,7.6,2.7,,
