yyyy,mm,tmax,tmin,latitude,longitude
1972,4,11.9,4.4,,
1972,5,14.2,5.7,,
1972,6,15.4,7.1,,
1972,7,19.8,10.3,,
1972,8,19.1,10.1,,
1972,9,15.8,5.9,,
1972,10,14.1,5.4,,
1972,11,9.8,2.5,,
1972,12,8.2,2.2,,
1973,1,6.9,2,,
1973,2,7.5,0.2,,
1973,3,10.4,0.1,,
1973,4,10.7,2.4,,
1973,5,15.6,6.5,,
1973,6,19.7,9.1,,
1973,7,19.8,10.6,,
1973,8,21,10.7,,
1973,9,18,9.4,,
1973,10,13,4.4,,
1973,11,9.4,1.9,,
1973,12,8.3,1.5,,
1974,1,8.9,2.2,,
1974,2,8.5,1.6,,
1974,3,9,1.3,,
1974,4,12.6,2.1,,
1974,5,15.4,5.5,,
1974,6,18.1,8.7,,
1974,7,19,10.3,,
1974,8,19.7,9,,
1974,9,15.4,7.5,,
1974,10,10.8,4.6,,
1974,11,9.5,2.5,,
1974,12,10.6,4.9,,
1975,1,9.8,3.2,,
1975,2,7,0.7,,
1975,3,7.8,0.9,,
1975,4,12.1,3.7,,
1975,5,14.4,4.1,,
1975,6,20,8,,
1975,7,22,12.2,,
1975,8,23.8,12.1,,
1975,9,17.6,7.4,,
1975,10,13.8,5.2,,
1975,11,9.5,1.4,,
1975,12,8.2,1.9,,
1976,1,8.6,2.9,,
1976,2,7.3,1.3,,
1976,3,8.3,0.4,,
1976,4,12.2,2.7,,
1976,5,16.3,6.8,,
1976,6,22.4,10,,
1976,7,23.9,11.7,,
1976,8,23.8,9.9,,
1976,9,16.8,8.6,,
1976,10,13.3,6.2,,
1976,11,9.2,1.4,,
1976,12,4.6,-1.8,,
1977,1,5.2,-0.7,,
1977,2,7.4,2,,
1977,3,10.2,3.2,,
1977,4,11.1,2.7,,
1977,5,15.4,4.4,,
1977,6,16.5,7.4,,
1977,7,20.3,10.8,,
1977,8,19.6,10.1,,
1977,9,16.5,8.8,,
1977,10,14.5,7.7,,
1977,11,9.1,2.3,,
1977,12,8.2,3.1,,
1978,1,6.1,0.3,,
1978,2,5.4,-1,,
1978,3,10.9,2.7,,
1978,4,10.2,2.4,,
1978,5,16.6,6.6,,
1978,6,17.4,8.7,,
1978,7,18.5,10.5,,
1978,8,18.6,11,,
1978,9,18,9.6,,
1978,10,15.4,7.6,,
1978,11,11.5,4.3,,
1978,12,6.3,0.5,,
1979,1,2.8,-4.6,,
1979,2,3.4,-2.1,,
1979,3,7.6,0.9,,
1979,4,11.4,3.5,,
1979,5,13.8,4.8,,
1979,6,18.2,9.1,,
1979,7,20.3,10.5,,
1979,8,19.1,10.1,,
1979,9,17.6,7.9,,
1979,10,14.8,6.7,,
1979,11,10.4,2,,
1979,12,8.3,2.1,,
1980,1,4.9,-1.3,,
1980,2,8.9,2.1,,
1980,3,7.8,1.1,,
1980,4,13.3,3.5,,
1980,5,16.8,5,,
1980,6,17.6,9.4,,
1980,7,18.5,9.8,,
1980,8,19.7,11.4,,
1980,9,18.3,10.4,,
1980,10,12.2,4.4,,
1980,11,9.2,3.6,,
1980,12,9.1,2.2,,
1981,1,8.2,1.5,,
1981,2,5.8,-1.2,,
1981,3,10.9,4.8,,
1981,4,12,3.5,,
1981,5,15.1,6.7,,
1981,6,16.9,9.2,,
1981,7,19.3,10.7,,
1981,8,20.9,11.3,,
1981,9,18.7,8.8,,
1981,10,11.7,3.8,,
1981,11,10.9,3.9,,
1981,12,2.6,-4.9,,
1982,1,5.2,-2.5,,
1982,2,7.9,1.1,,
1982,3,9.8,1.3,,
1982,4,12.8,3.3,,
1982,5,16.8,5.1,,
1982,6,19.7,10.4,,
1982,7,20.6,10.9,,
1982,8,19.4,11,,
1982,9,18.6,8.7,,
1982,10,13.4,5.9,,
1982,11,10.5,4.5,,
1982,12,7.4,-0.1,,
1983,1,9.7,3.4,,
1983,2,4.3,-2,,
1983,3,9.8,3.1,,
1983,4,10.6,2,,
1983,5,13.9,6.5,,
1983,6,18.4,9.4,,
1983,7,24.8,12.7,,
1983,8,22.5,11.2,,
1983,9,17,9.7,,
1983,10,13.6,5.9,,
1983,11,10,3.3,,
1983,12,9,1.7,,
1984,1,6.8,-0.1,,
1984,2,6.5,0,,
1984,3,7.8,1.2,,
1984,4,13.7,1.3,,
